date,taux
2006-12-19,3.25
2007-03-27,3.25
2007-06-19,3.25
2007-09-25,3.25
2007-12-25,3.25
2008-03-25,3.25
2008-06-17,3.50
2008-09-23,3.50
2008-12-23,3.50
2009-03-24,3.25
2009-06-16,3.25
2009-10-01,3.25
2009-12-22,3.25
2010-03-30,3.25
2010-06-15,3.25
2010-09-21,3.25
2010-12-21,3.25
2011-03-29,3.25
2011-06-14,3.25
2011-09-20,3.25
2011-12-20,3.25
2012-03-27,3.00
2012-06-19,3.00
2012-09-25,3.00
2012-12-18,3.00
2013-03-26,3.00
2013-06-18,3.00
2013-09-24,3.00
2013-12-17,3.00
2014-03-25,3.00
2014-06-17,3.00
2014-09-23,2.75
2014-12-16,2.50
2015-03-24,2.50
2015-06-16,2.50
2015-09-22,2.50
2015-12-22,2.50
2016-03-22,2.25
2016-06-21,2.25
2016-09-27,2.25
2016-12-20,2.25
2017-03-21,2.25
2017-06-20,2.25
2017-09-26,2.25
2017-12-19,2.25
2018-03-20,2.25
2018-06-19,2.25
2018-09-25,2.25
2018-12-18,2.25
2019-03-19,2.25
2019-06-18,2.25
2019-09-24,2.25
2019-12-17,2.25
2020-03-17,2.00
2020-06-18,1.50
2020-09-22,1.50
2020-12-15,1.50
2021-03-23,1.50
2021-06-22,1.50
2021-12-21,1.50
2022-03-22,1.50
2022-06-21,1.50
2022-09-27,2.00
2022-12-22,2.50
2023-03-23,3.00
2023-06-22,3.00
2023-09-28,3.00
2023-12-21,3.00
2024-03-21,3.00
2024-06-27,2.75
2024-09-26,2.50
2024-12-19,2.25
2025-03-20,2.25
2025-06-26,2.25
2025-09-25,2.25
2025-12-18,2.25
2026-03-19,2.25
