"Taux des dépôts à terme"
Mois;"Taux moyen pondéré des comptes et bons de caisse à 6 mois";"Taux moyen pondéré des comptes et bons de caisse à 12 mois"
juin-2026;"2,51 %";"2,77 %"
mai-2026;"2,16 %";"2,60 %"
avril-2026;"2,81 %";"2,78 %"
mars-2026;"2,21 %";"2,73 %"
février-2026;"2,17 %";"2,85 %"
janvier-2026;"2,19 %";"2,76 %"
décembre-2025;"2,53 %";"2,64 %"
novembre-2025;"2,31 %";"2,60 %"
octobre-2025;"2,78 %";"2,71 %"
septembre-2025;"2,57 %";"2,48 %"
août-2025;"2,46 %";"2,48 %"
juillet-2025;"2,16 %";"2,57 %"
juin-2025;"2,27 %";"2,96 %"
mai-2025;"2,36 %";"2,70 %"
avril-2025;"2,72 %";"2,73 %"
mars-2025;"2,78 %";"2,87 %"
février-2025;"2,58 %";"2,80 %"
janvier-2025;"2,23 %";"2,67 %"
décembre-2024;"2,33 %";"3,00 %"
novembre-2024;"2,35 %";"2,74 %"
octobre-2024;"2,68 %";"2,89 %"
septembre-2024;"2,92 %";"2,52 %"
août-2024;"2,73 %";"2,53 %"
juillet-2024;"2,67 %";"2,74 %"
juin-2024;"2,77 %";"3,20 %"
mai-2024;"2,51 %";"3,03 %"
avril-2024;"2,40 %";"2,96 %"
mars-2024;"2,38 %";"2,82 %"
février-2024;"2,65 %";"2,95 %"
janvier-2024;"2,59 %";"2,81 %"
décembre-2023;"2,60 %";"3,05 %"
novembre-2023;"2,37 %";"2,65 %"
octobre-2023;"2,44 %";"2,88 %"
septembre-2023;"2,52 %";"2,49 %"
août-2023;"2,37 %";"2,53 %"
juillet-2023;"2,65 %";"2,86 %"
juin-2023;"2,41 %";"2,85 %"
mai-2023;"2,50 %";"3,14 %"
avril-2023;"2,43 %";"2,92 %"
mars-2023;"2,49 %";"2,58 %"
février-2023;"2,38 %";"2,62 %"
janvier-2023;"2,28 %";"2,87 %"
décembre-2022;"2,24 %";"2,67 %"
novembre-2022;"2,41 %";"2,63 %"
octobre-2022;"2,08 %";"2,41 %"
septembre-2022;"2,11 %";"2,39 %"
août-2022;"2,07 %";"2,39 %"
juillet-2022;"2,04 %";"2,38 %"
juin-2022;"2,02 %";"2,34 %"
mai-2022;"2,10 %";"2,45 %"
avril-2022;"2,04 %";"2,62 %"
mars-2022;"2,16 %";"2,47 %"
février-2022;"2,12 %";"2,36 %"
janvier-2022;"2,02 %";"2,62 %"
décembre-2021;"2,19 %";"2,53 %"
novembre-2021;"2,15 %";"2,51 %"
octobre-2021;"2,13 %";"2,21 %"
septembre-2021;"2,35 %";"2,60 %"
août-2021;"2,25 %";"2,54 %"
juillet-2021;"2,41 %";"2,58 %"
juin-2021;"2,35 %";"2,69 %"
mai-2021;"2,13 %";"2,48 %"
avril-2021;"2,21 %";"2,73 %"
mars-2021;"2,43 %";"2,79 %"
février-2021;"2,35 %";"2,82 %"
janvier-2021;"2,48 %";"2,70 %"
décembre-2020;"2,51 %";"2,80 %"
novembre-2020;"2,26 %";"2,75 %"
octobre-2020;"2,31 %";"2,48 %"
septembre-2020;"2,52 %";"2,66 %"
août-2020;"2,40 %";"2,69 %"
juillet-2020;"2,59 %";"2,77 %"
juin-2020;"2,67 %";"3,05 %"
mai-2020;"2,62 %";"3,03 %"
avril-2020;"2,64 %";"2,99 %"
mars-2020;"2,69 %";"3,06 %"
février-2020;"2,68 %";"2,99 %"
janvier-2020;"2,83 %";"3,12 %"
décembre-2019;"2,71 %";"3,00 %"
novembre-2019;"2,69 %";"2,94 %"
octobre-2019;"2,63 %";"2,99 %"
septembre-2019;"2,74 %";"2,99 %"
août-2019;"2,65 %";"3,02 %"
juillet-2019;"2,87 %";"3,01 %"
juin-2019;"2,70 %";"3,05 %"
mai-2019;"2,69 %";"3,00 %"
avril-2019;"2,65 %";"2,95 %"
mars-2019;"2,76 %";"3,03 %"
février-2019;"2,70 %";"3,03 %"
janvier-2019;"2,87 %";"3,13 %"
décembre-2018;"2,80 %";"3,04 %"
novembre-2018;"2,73 %";"3,02 %"
octobre-2018;"2,59 %";"3,05 %"
septembre-2018;"2,85 %";"3,05 %"
