annee,recettes,depenses,deficit,dette
2006,147.1,123.92,-8.92,18.65
2007,171.71,133.87,4.04,19.26
2008,204.68,157.04,3.07,18.23
2009,189.12,152.73,-15.9,17.33
2010,193.7,162.02,-35.76,17.57
2011,213.69,194.21,-48.27,18.24
2012,224.06,215.62,-57.56,20.1
2013,228.78,209.7,-45.69,22.5
2014,236.99,209.69,-43.64,24.79
2015,233.55,200.82,-41.17,27.29
2016,241.07,202.97,-43.9,27.1
2017,255.13,206.29,-37.14,27.08
2018,259.12,212.77,-41.66,26.32
2019,279.2,224.38,-41.52,26.42
2020,253.1,231.96,-82.34,27.26
2021,284.08,252.2,-70.21,27.11
2022,333.02,288.13,-72.27,28.5
2023,355.24,293.28,-65.33,31.22
2024,369,333,-61.5,33.89
2025,409,372,-61.6,43
