,,,,
,,,,ICM
,,,1T 2008,"85,9"
,,,2T 2008,"77,7"
,,,3T 2008,"75,6"
,,,4T 2008,"80,1"
,,,1T 2009,"76,9"
,,,2T 2009,"77,6"
,,,3T 2009,"79,1"
,,,4T 2009,"79,5"
,,,1T 2010,"80,1"
,,,2T 2010,"78,8"
,,,3T 2010,"78,6"
,,,4T 2010,"74,7"
,,,1T 2011,"78,4"
,,,2T 2011,"85,8"
,,,3T 2011,"86,5"
,,,4T 2011,"84,5"
,,,1T 2012,"82,9"
,,,2T 2012,"80,7"
,,,3T 2012,"77,6"
,,,4T 2012,"78,4"
,,,1T 2013,"75,8"
,,,2T 2013,"74,3"
,,,3T 2013,"75,4"
,,,4T 2013,"74,2"
,,,1T 2014,"74,1"
,,,2T 2014,74
,,,3T 2014,"73,1"
,,,4T 2014,"71,6"
,,,1T 2015,"73,7"
,,,2T 2015,"76,1"
,,,3T 2015,"76,3"
,,,4T 2015,"77,1"
,,,1T 2016,"71,6"
,,,2T 2016,"75,7"
,,,3T 2016,"73,8"
,,,4T 2016,"73,5"
,,,1T 2017,"78,2"
,,,2T 2017,"85,8"
,,,3T 2017,"85,5"
,,,4T 2017,"85,9"
,,,1T 2018,"87,3"
,,,2T 2018,"87,3"
,,,3T 2018,"82,5"
,,,4T 2018,"79,8"
,,,1T 2019,"79,1"
,,,2T 2019,"74,9"
,,,3T 2019,"74,8"
,,,4T 2019,"77,8"
,,,1T 2020,"75,7"
,,,2T 2020,"65,6"
,,,3T 2020,"60,6"
,,,4T 2020,"61,2"
,,,1T 2021,"68,3"
,,,2T 2021,63
,,,3T 2021,"65,5"
,,,4T 2021,"61,2"
,,,1T 2022,"53,7"
,,,2T 2022,"50,1"
,,,3T 2022,"47,4"
,,,4T 2022,"46,6"
,,,1T 2023,"46,3"
,,,2T 2023,"45,4"
,,,3T 2023,"46,5"
,,,4T 2023,"44,3"
,,,1T 2024,"45,3"
,,,2T 2024,"46,1"
,,,3T 2024,"46,2"
,,,4T 2024,"46,5"
,,,1T 2025,"46,6"
,,,2T 2025,"54,6"
,,,,
,,,Source : HCP - Enquête Nationale sur la Conjoncture auprès des Ménages,
