periode,extractives,manufacturieres,electricite
2020-02,124.2,113.7,120.9
2020-05,141.6,90.8,112.7
2020-08,140.1,104.1,136.0
2020-11,138.7,106.1,123.4
2021-02,132.0,114.7,121.4
2021-05,139.8,108.9,130.5
2021-08,148.2,107.5,141.5
2021-11,141.6,113.2,131.6
2022-02,118.7,112.1,126.5
2022-05,118.0,110.9,133.3
2022-08,120.1,110.8,141.2
2022-11,115.2,114.1,132.0
2023-02,90.0,114.2,123.5
2023-05,96.0,107.0,135.4
2023-08,112.8,111.9,144.2
2023-11,109.1,116.4,133.9
2024-02,115.7,116.5,127.5
2024-05,123.8,113.2,126.4
2024-08,138.1,122.2,149.3
2024-11,132.0,122.7,135.9
2025-02,128.2,120.2,136.6
2025-05,144.6,121.1,138.3
2025-08,148.3,124.9,158.8
