annee,gap_hp,gap_fdp,gap_mss
1980,3.094,,0.560
1981,-3.627,,-4.894
1982,1.609,,1.094
1983,-2.924,,-2.830
1984,-2.689,,-2.351
1985,-0.585,,-0.356
1986,3.388,,3.358
1987,-3.11,,-3.291
1988,2.971,,2.423
1989,1.628,,0.875
1990,2.065,,1.181
1991,5.988,,5.052
1992,-0.167,,-0.843
1993,-4.311,,-4.751
1994,3.427,,2.941
1995,-6.294,,-6.606
1996,3.043,,2.563
1997,-2.393,,-2.719
1998,1.733,1.7,1.517
1999,-1.448,-1.354,-1.342
2000,-3.765,-3.404,-3.351
2001,-0.583,-0.197,-0.055
2002,-1.597,-0.852,-0.968
2003,0.105,0.943,0.702
2004,0.269,0.967,0.846
2005,-1.381,-0.216,-0.814
2006,1.492,2.875,1.968
2007,-0.4,0.421,0.043
2008,0.872,0.257,1.233
2009,0.671,-0.211,0.960
2010,0.218,-0.611,0.451
2011,1.322,0.221,1.459
2012,0.496,-0.533,0.569
2013,1.37,0.304,1.361
2014,0.682,-0.169,0.641
2015,1.846,1.507,1.809
2016,-0.5,-0.748,-0.431
2017,1.76,1.472,1.876
2018,2.273,1.797,2.532
2019,2.74,2.262,3.201
2020,-7.032,-6.881,-6.275
2021,-1.55,-1.367,-0.978
2022,-2.168,-1.911,-1.903
2023,-1.055,-0.571,-1.344
2024,0.142,0.627,-0.829
2025,2.376,3.222,0.685
